"Osaka, Japan","10F Umeda Daibiru, 3-3-10 Umeda, Kita ku, Osaka, Japan 530 0001",Asia Pacific,34.699056,135.492277,SYNH
"Pasig City, Philippines","Unit 2903/4, 29th Floor, Discovery Centre, #25 ADB Avenue, Ortigas Center, Pasig City 1605 Philippines ",Asia Pacific,14.585908,121.060247,SYNH
"Pune, India","1st Floor, Building No. 1, Commerzone Survey No. 144/145, Samrat Ashok Path, Pune, India 411 006",Asia Pacific,18.563268,73.884595,SYNH
"Pune, India","Office 601 & 602, Building No. 4, Commerzone Survey No. 144/145, Samrat Ashok Path, Pune, India 411 006",Asia Pacific,18.563268,73.884595,SYNH
"Seoul, South Korea","4F, Gangnam N Tower, 129 Teheran-ro, Gangnam-gu, Seoul, South Korea 06113 ",Asia Pacific,37.499994,127.036507,SYNH
"Shanghai, China","Room 506-508, No. 688 West Nanjing Road, Shanghai, 200041, P.R.C. China",Asia Pacific,31.230878,121.464561,SYNH
Singapore,"21 Biopolis Road, #03-03 Nucleos, Singapore 138567",Asia Pacific,1.301626,103.792179,SYNH
"Sydney, Australia","924 Pacific Hwy., Suite 1, Level 2, Gordon, Australia NSW 2072",Asia Pacific,-33.751772,151.146965,SYNH
"Taipei, Taiwan","7D, 167 Tun Hwa North Rd., Taipei 10549 Taiwan.",Asia Pacific,25.054697,121.549631,SYNH
"Tokyo, Japan","5th & 6th Floor Urbannet, Nihonbashi 2-Chome Building 2-1-3, Nihonbashi, Chuo-ku, Tokyo 103-0027",Asia Pacific,35.682611,139.772626,SYNH
"Tokyo, Japan","27F Shinagawa Season Terrace, 1-2-70 Konan, Minato-ku, Tokyo, Japan 108-0075",Asia Pacific,35.632491,139.743066,SYNH
"Dubai, United Arab Emirates","Dubai Airport Free Zone, PO Box 491, Dubai, 7A West Wing Office 1041, Dubai, United Arab Emirates",Middle East,25.261774,55.371729,SYNH
"Kiryat Ono, Israel","Azorim Center Tower A, 39 Jerusalem Street, Kiryat Ono, Israel 55423",Middle East,32.055446,34.862469,SYNH
"Mar Roukoz, Lebanon","Berytech Technological Pole, 1107 2240 Mkalles, Lebanon",Middle East,33.865171,35.56234,SYNH
"Cairo, Egypt","Florida Tower, El Sheikh Aly Gad El Haq St., 1229 Square, Sheraton Buildings, 8th Floor, Heliopolis Cairo, Egypt",Africa,30.100946,31.370612,SYNH
"Johannesburg, South Africa","4th Floor, The Firs, Cradock Avenue Rosebank, Johannesburg, South Africa 2196",Africa,-26.143588,28.042392,SYNH
"Bloemfontein, South Africa","Uni Park Building, Nobel Street, Brandwag, Bloemfonetein 9301",Africa,-29.1055,26.1942,SYNH
